City,Price,Location,Size (sqft),Contact Info
Delhi,₹1.42 Cr,"3 Bedroom House in Site C, Greater Noida","Paramount golfforste villas wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in sector zeta greater noida seems to be an ideal choice for a peaceful abode for a family. The house has over super built up area of 1450 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 3 balconies. This 3 bhk house comes attached with 1 covered and 1 ...",N/A
Delhi,₹2.5 Cr,"3 BHK Flat in Sector 93 B, Noida","This property faces the north-East direction. Constructed on a built up area of 1600 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. This flat is situated on the 7th floor of this 10 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The floor of this flat is beautifully designed using vitrif...",N/A
Delhi,₹2.25 - 2.3 Cr,"2, 3, 4, 5, 6, 7 BHK Apartment in Karol Bagh, Delhi",N/A,N/A
Delhi,₹17 - 23 L,"1, 2, 3 BHK Apartment in Uttam Nagar West, Delhi",N/A,N/A
Delhi,₹3 - 4.25 Cr,"3, 4, 5 BHK Builder Floor in Janakpuri, West Delhi",N/A,N/A
Delhi,₹2.25 - 2.75 Cr,"3, 4 BHK Builder Floor in Paschim Vihar, Delhi",N/A,N/A
Delhi,₹2.75 Cr,"3, 4, 5 BHK Builder Floor in Punjabi Bagh, Delhi",N/A,N/A
Delhi,₹1 - 1.25 Cr,"2, 3, 4 BHK Builder Floor in Sector 8 Dwarka, Delhi",N/A,N/A
Delhi,₹7.63 - 8.85 Cr,"3, 4 BHK Apartment in Sector 17 Dwarka, Delhi",N/A,N/A
Delhi,₹2.8 - 4.5 Cr,"3, 4 BHK Builder Floor in Punjabi Bagh West, Delhi",N/A,N/A
Delhi,₹2.75 Cr,"3, 4 BHK Builder Floor in Punjabi Bagh, Delhi",N/A,N/A
Delhi,₹1.1 Cr,"2, 3, 4 BHK Builder Floor in Paschim Vihar, Delhi",N/A,N/A
Delhi,₹3 - 5.59 Cr,"2, 3, 4 BHK Apartment in Okhla, Delhi",N/A,N/A
Delhi,₹90 L - 1 Cr,"2, 3, 4 BHK Builder Floor in Ashram, Delhi",N/A,N/A
Delhi,₹4.5 - 7 Cr,"3, 4, 5 BHK Builder Floor in Greater Kailash 1, Delhi",N/A,N/A
Delhi,₹1.05 - 1.4 Cr,"2, 3, 4 BHK Builder Floor in Paschim Vihar, Delhi",N/A,N/A
Delhi,₹30 - 70 L,"2, 3, 4 BHK Apartment in Sector 24 Rohini, Delhi",N/A,N/A
Delhi,₹1.23 - 4.23 Cr,"3, 4, 5 BHK Builder Floor in Vikas Puri, Delhi",N/A,N/A
Delhi,₹43 L,"2 BHK Builder Floor in Uttam Nagar West, Delhi",N/A,N/A
Delhi,₹25 L,"1, 2, 3, 4 BHK Builder Floor in Chattarpur, Delhi",N/A,N/A
Delhi,₹9 - 15 Cr,"4 BHK Builder Floor in Panchsheel Park, Delhi",N/A,N/A
Delhi,₹1.3 Cr,"2, 3, 4, 5 BHK Builder Floor in Sector 17 Dwarka, Delhi",N/A,N/A
Delhi,₹36 - 55 L,"2, 3, 4 BHK Builder Floor in Sector 14 Dwarka, Delhi",N/A,N/A
Delhi,₹2 Cr,"2, 3, 4 BHK Builder Floor in Preet Vihar, Delhi",N/A,Kohli East Delhi Luxury Builder Floors
Delhi,₹6 - 12.86 Cr,"3, 4, 5 BHK Apartment in Greater Kailash 2, Delhi",N/A,N/A
Delhi,₹2 Cr,"2, 3, 4 BHK Builder Floor in Anand Vihar, Delhi",N/A,Pradeep Luxury Builders Floor
Delhi,₹3.35 Cr,"3 Bedroom House in Sector 4, Gurgaon","1,440 sqft",N/A
Delhi,₹4.8 Cr,N/A,"2,394 sqft",N/A
Delhi,₹2.25 - 2.3 Cr,"2, 3, 4, 5, 6, 7 BHK Apartment in Karol Bagh, Delhi",N/A,N/A
Delhi,₹17 - 23 L,"1, 2, 3 BHK Apartment in Uttam Nagar West, Delhi",N/A,N/A
Delhi,₹3 - 4.25 Cr,"3, 4, 5 BHK Builder Floor in Janakpuri, West Delhi",N/A,N/A
Delhi,₹2.25 - 2.75 Cr,"3, 4 BHK Builder Floor in Paschim Vihar, Delhi",N/A,N/A
Delhi,₹2.75 Cr,"3, 4, 5 BHK Builder Floor in Punjabi Bagh, Delhi",N/A,N/A
Delhi,₹1 - 1.25 Cr,"2, 3, 4 BHK Builder Floor in Sector 8 Dwarka, Delhi",N/A,N/A
Delhi,₹7.63 - 8.85 Cr,"3, 4 BHK Apartment in Sector 17 Dwarka, Delhi",N/A,N/A
Delhi,₹2.8 - 4.5 Cr,"3, 4 BHK Builder Floor in Punjabi Bagh West, Delhi",N/A,N/A
Delhi,₹2.75 Cr,"3, 4 BHK Builder Floor in Punjabi Bagh, Delhi",N/A,N/A
Delhi,₹1.1 Cr,"2, 3, 4 BHK Builder Floor in Paschim Vihar, Delhi",N/A,N/A
Delhi,₹3 - 5.59 Cr,"2, 3, 4 BHK Apartment in Okhla, Delhi",N/A,N/A
Delhi,₹90 L - 1 Cr,"2, 3, 4 BHK Builder Floor in Ashram, Delhi",N/A,N/A
Delhi,₹4.5 - 7 Cr,"3, 4, 5 BHK Builder Floor in Greater Kailash 1, Delhi",N/A,N/A
Delhi,₹1.05 - 1.4 Cr,"2, 3, 4 BHK Builder Floor in Paschim Vihar, Delhi",N/A,N/A
Delhi,₹30 - 70 L,"2, 3, 4 BHK Apartment in Sector 24 Rohini, Delhi",N/A,N/A
Delhi,₹1.23 - 4.23 Cr,"3, 4, 5 BHK Builder Floor in Vikas Puri, Delhi",N/A,N/A
Delhi,₹43 L,"2 BHK Builder Floor in Uttam Nagar West, Delhi",N/A,N/A
Delhi,₹25 L,"1, 2, 3, 4 BHK Builder Floor in Chattarpur, Delhi",N/A,N/A
Delhi,₹9 - 15 Cr,"4 BHK Builder Floor in Panchsheel Park, Delhi",N/A,N/A
Delhi,₹1.3 Cr,"2, 3, 4, 5 BHK Builder Floor in Sector 17 Dwarka, Delhi",N/A,N/A
Delhi,₹36 - 55 L,"2, 3, 4 BHK Builder Floor in Sector 14 Dwarka, Delhi",N/A,N/A
Delhi,₹2 Cr,"2, 3, 4 BHK Builder Floor in Preet Vihar, Delhi",N/A,Kohli East Delhi Luxury Builder Floors
